taxid,parent_taxid,rank,scientific_name,common_name
9254,40674,clade,Prototheria,
9255,9254,order,Monotremata,egg-laying mammals
9256,9255,family,Ornithorhynchidae,
9257,9256,genus,Ornithorhynchus,
9258,9257,species,Ornithorhynchus anatinus,duck-billed platypus
9259,9255,family,Tachyglossidae,echidnas
9260,9259,genus,Tachyglossus,short-nosed echidnas
9261,9260,species,Tachyglossus aculeatus,Australian echidna
9263,32525,clade,Metatheria,marsupials
9265,38605,family,Didelphidae,American opossums
9266,126287,genus,Didelphis,
9267,9266,species,Didelphis virginiana,North American opossum
9268,9266,species,Didelphis marsupialis,southern opossum
9269,126287,genus,Marmosa,
9271,126287,genus,Philander,
9272,9271,species,Philander opossum,gray four-eyed opossum
9273,38608,family,Thylacinidae,
9274,9273,genus,Thylacinus,
9275,9274,species,Thylacinus cynocephalus,Tasmanian tiger
9277,38608,family,Dasyuridae,
9278,9277,genus,Dasyurus,marsupial cats
9279,9278,species,Dasyurus viverrinus,eastern quoll
9280,9278,species,Dasyurus hallucatus,northern quoll
9281,9278,species,Dasyurus maculatus,spotted-tailed quoll
9282,9277,genus,Antechinus,broad-footed marsupial mice
9283,9282,species,Antechinus stuartii,brown antechinus
9284,9282,species,Antechinus swainsonii,dusky antechinus
9286,9277,genus,Dasykaluta,
9288,9277,genus,Murexia,short-haired marsupial mice
9290,9277,genus,Parantechinus,
9291,9290,species,Parantechinus apicalis,southern dibbler
9292,9277,genus,Phascogale,brush-tailed marsupial mice
9293,9292,species,Phascogale tapoatafa,brush-tailed phascogale
9294,9277,genus,Phascolosorex,
9295,9294,species,Phascolosorex dorsalis,narrow-striped marsupial shrew
9296,9277,genus,Planigale,
9297,9296,species,Planigale maculata,pygmy planigale
9298,9277,genus,Pseudantechinus,
9299,9298,species,Pseudantechinus macdonnellensis,fat-tailed pseudantechinus
9300,9277,genus,Sminthopsis,
9301,9300,species,Sminthopsis crassicaudata,fat-tailed dunnart
9302,9300,species,Sminthopsis macroura,Australian stripe-faced dunnart
9304,9277,genus,Sarcophilus,
9305,9304,species,Sarcophilus harrisii,Tasmanian devil
9307,38609,family,Macropodidae,
9309,65619,genus,Potorous,
9310,9309,species,Potorous tridactylus,long-nosed potoroo
9312,9307,genus,Macropus,
9313,1960649,species,Notamacropus agilis,Agile wallaby
9314,2182372,species,Osphranter antilopinus,antelopine kangaroo
9315,1960649,species,Notamacropus eugenii,tammar wallaby
9316,9312,species,Macropus fuliginosus,western gray kangaroo
9317,9312,species,Macropus giganteus,eastern gray kangaroo
9318,1960649,species,Notamacropus parryi,whiptail wallaby
9319,2182372,species,Osphranter robustus,common wallaroo
9321,2182372,species,Osphranter rufus,red kangaroo
9322,2649300,species,Macropus sp.,kangaroo
9323,2182372,species,Osphranter bernardus,black wallaroo
9324,9307,genus,Petrogale,rock wallabies
9325,9324,species,Petrogale xanthopus,ring-tailed rock wallaby
9326,9307,genus,Thylogale,
9327,9326,species,Thylogale billardierii,red-bellied pademelon
9328,9326,species,Thylogale stigmatica,red-legged pademelon
9329,9307,genus,Wallabia,
9330,9329,species,Wallabia bicolor,swamp wallaby
9331,38609,family,Petauridae,gliding and striped possums
9332,37889,genus,Pseudocheirus,
9333,9332,species,Pseudocheirus peregrinus,common ring-tailed possum
9335,38609,family,Phalangeridae,possums and cuscuses
9336,9335,genus,Trichosurus,brush-tailed possums
9337,9336,species,Trichosurus vulpecula,common brush-tailed possum
9338,38609,family,Vombatidae,wombats
9342,38611,family,Peramelidae,bandicoots
9343,9342,genus,Perameles,
9344,9343,species,Perameles nasuta,long-nosed bandicoot
9347,32525,clade,Eutheria,eutherian mammals
9348,9347,superorder,Xenarthra,armadillos and others
9349,948952,family,Myrmecophagidae,anteaters
9350,9349,genus,Tamandua,
9351,9350,species,Tamandua mexicana,Mexican collared anteater
9352,948953,family,Bradypodidae,three-fingered sloths
9353,9352,genus,Bradypus,three-toed sloth
9354,9353,species,Bradypus tridactylus,Pale-throated sloth
9355,9353,species,Bradypus variegatus,Brown-throated sloth
9357,227508,genus,Choloepus,
9358,9357,species,Choloepus hoffmanni,Hoffmann's two-fingered sloth
9359,948951,family,Dasypodidae,armadillo
9360,9359,genus,Dasypus,
9361,9360,species,Dasypus novemcinctus,nine-banded armadillo
9362,314145,order,Eulipotyphla,"hedgehogs, shrews, moles & allies"
9363,9362,family,Erinaceidae,hedgehogs
9364,30577,genus,Erinaceus,
9365,9364,species,Erinaceus europaeus,common hedgehog
9366,9363,subfamily,Galericinae,gymnures
9367,30577,genus,Atelerix,
9368,9367,species,Atelerix albiventris,four-toed hedgehog
9369,3466516,family,Tenrecidae,tenrecs
9370,176113,genus,Echinops,
9371,9370,species,Echinops telfairi,lesser hedgehog tenrec
9373,9362,family,Talpidae,"moles, shrew-moles, and desmans"
9374,9373,genus,Talpa,
9375,9374,species,Talpa europaea,European mole
9376,9362,family,Soricidae,shrews
9377,183662,genus,Suncus,musk shrews
9378,9377,species,Suncus murinus,Asian house shrew
9379,183663,genus,Sorex,
9380,36803,subspecies,Sorex cinereus acadicus,
9381,36803,subspecies,Sorex cinereus cinereus,
9382,36803,subspecies,Sorex cinereus miscix,
9383,9379,species,Sorex haydeni,prairie shrew
9384,9379,species,Sorex hoyi,American pygmy shrew
9386,183663,genus,Blarina,
9387,9386,species,Blarina brevicauda,northern short-tailed shrew
9389,3466516,family,Chrysochloridae,Golden moles
9390,745258,genus,Amblysomus,
9391,9390,species,Amblysomus hottentotus,Hottentot golden mole
9392,314146,order,Scandentia,tree shrews
9393,9392,family,Tupaiidae,tree shrews
9394,9393,genus,Tupaia,
9395,9394,species,Tupaia glis,common tree shrew
9397,314145,order,Chiroptera,bats
9398,3136023,family,Pteropodidae,flying foxes
9399,3136027,genus,Cynopterus,
9400,9399,species,Cynopterus sphinx,greater short-nosed fruit bat
9401,77225,genus,Pteropus,
9402,9401,species,Pteropus alecto,black flying fox
9403,9401,species,Pteropus poliocephalus,gray-headed flying fox
9404,9401,species,Pteropus temminckii,Temminck's flying fox
9405,9401,species,Pteropus hypomelanus,small flying fox
9406,3136029,genus,Rousettus,
9407,9406,species,Rousettus aegyptiacus,Egyptian rousette
9408,9406,species,Rousettus leschenaultii,Leschenault's rousette
9409,3136022,family,Megadermatidae,false vampire bats
9410,9409,genus,Macroderma,
9411,9410,species,Macroderma gigas,Australian false vampire bat
9412,9409,genus,Megaderma,
9414,9412,species,Megaderma spasma,lesser false vampire bat
9415,30560,family,Phyllostomidae,American leaf-nosed and vampire bats
9416,40234,genus,Artibeus,neotropical fruit bats
9417,9416,species,Artibeus jamaicensis,Jamaican fruit-eating bat
9418,40238,genus,Macrotus,big-eared bats
9419,9418,species,Macrotus californicus,California big-eared bat
